international,age,semesters_completed,commute_distance_km,financial_need_score,housing_urgency_rating,grades,should_recieve_housing,HO,A1,A2,A3,A4
international,29,8,49.7,52.97,5.4,9.9,0,0,0,0,0,0
international,36,9,33.0,78.88,5.4,4.0,0,0,1,1,0,0
domestic,27,6,11.8,64.59,4.3,3.98,0,0,0,0,0,0
domestic,22,7,17.4,16.91,4.7,5.45,0,0,0,0,0,0
domestic,19,2,42.5,68.9,7.9,4.17,1,1,1,1,1,1
domestic,23,7,10.2,48.97,5.0,5.04,0,0,0,0,0,0
domestic,23,7,0.7,50.03,3.0,3.5,0,0,0,0,0,0
domestic,21,1,3.6,44.15,4.3,2.18,0,0,0,0,0,0
domestic,21,4,14.2,34.26,5.9,5.83,0,0,0,0,0,0
domestic,28,4,6.2,55.24,3.0,,0,0,0,0,0,0
international,35,11,35.6,46.37,2.7,4.7,0,0,0,0,0,0
domestic,22,2,31.6,51.93,6.9,5.13,0,1,0,0,0,0
international,26,7,29.9,47.12,4.4,5.8,0,0,0,0,0,0
domestic,21,2,23.6,73.25,6.7,4.44,1,1,1,1,1,1
domestic,27,7,17.4,54.23,5.1,5.22,0,0,0,0,0,0
domestic,30,10,15.0,15.89,1.3,3.9,0,0,0,0,0,0
international,21,4,6.5,72.96,5.6,80.4,1,1,1,1,1,1
domestic,23,5,5.5,64.11,4.4,4.64,0,0,0,0,0,0
international,20,2,13.9,78.44,7.7,37.3,1,1,1,1,1,1
domestic,32,7,9.4,33.54,1.0,5.36,0,0,0,0,0,0
domestic,21,1,23.0,75.82,7.5,2.69,1,1,1,1,1,1
domestic,31,8,11.1,34.12,3.5,4.43,0,0,0,0,0,0
domestic,24,4,22.8,65.51,7.6,4.13,1,1,0,1,1,1
domestic,21,3,1.5,44.9,5.5,2.62,0,0,0,0,0,0
international,27,7,27.9,64.55,5.2,92.0,0,0,0,1,1,0
domestic,22,4,4.1,34.96,5.3,5.4,0,0,0,0,0,0
international,26,6,64.4,46.79,3.5,2.5,0,0,0,0,0,0
international,32,9,26.5,81.51,4.7,5.6,1,0,1,1,1,0
domestic,23,2,11.5,56.43,5.2,4.87,1,1,0,0,0,0
domestic,23,7,16.6,43.03,2.7,4.79,0,0,0,0,0,0
domestic,24,6,15.6,72.77,4.9,2.7,1,1,1,1,0,0
domestic,26,7,13.9,73.47,3.8,5.17,1,0,1,1,0,0
international,20,2,28.5,89.73,9.1,3.1,1,1,1,1,1,1
domestic,31,4,41.0,38.96,5.8,4.84,0,0,0,0,0,0
domestic,22,4,22.3,40.86,5.5,4.89,0,0,0,0,0,0
domestic,22,6,7.6,31.49,4.6,5.03,0,0,0,0,0,0
domestic,26,3,28.3,54.37,6.6,4.58,1,1,0,0,1,0
domestic,22,3,17.8,67.33,8.0,5.06,1,1,0,1,1,1
domestic,33,6,19.9,36.95,4.1,,0,0,0,0,0,0
domestic,28,6,15.7,55.42,4.3,4.98,0,0,0,0,0,0
international,35,10,39.5,63.48,3.8,B,0,0,0,1,0,0
domestic,23,5,14.3,79.03,4.1,1.95,1,0,1,1,0,1
domestic,32,5,41.6,64.41,5.7,4.38,0,0,0,1,0,0
domestic,22,6,18.1,48.74,4.7,4.29,0,0,0,0,0,0
international,26,7,43.2,31.66,8.4,62.9,1,1,0,0,0,0
domestic,35,8,9.1,64.62,2.1,5.37,0,0,0,0,0,0
domestic,25,2,13.5,54.75,4.9,4.04,0,0,0,0,0,0
domestic,32,8,22.3,56.91,3.6,5.39,0,0,0,0,0,0
domestic,36,8,50.7,20.33,3.9,3.13,0,0,0,0,0,0
domestic,27,8,23.7,39.9,2.9,,0,0,0,0,0,0
domestic,31,9,51.7,42.55,3.4,2.92,0,0,0,0,0,0
domestic,30,6,6.7,66.29,3.7,,0,0,0,0,0,0
domestic,21,4,10.8,72.87,5.4,3.64,0,1,1,1,1,1
domestic,31,5,54.0,56.28,5.6,4.17,0,0,0,0,0,0
domestic,27,5,25.9,71.4,7.9,5.42,1,1,1,1,1,1
international,32,10,37.4,41.37,3.7,64.6,0,0,0,0,0,0
domestic,29,2,10.5,62.52,5.9,4.2,0,1,0,1,1,0
domestic,27,3,44.2,71.77,8.1,4.71,1,1,1,1,1,1
domestic,24,7,12.8,42.01,1.8,4.52,0,0,0,0,0,0
domestic,24,2,1.2,45.62,5.5,2.64,1,0,0,0,0,0
domestic,26,3,17.2,63.9,3.6,4.03,0,0,0,0,0,0
domestic,24,5,7.3,28.06,2.8,5.9,0,0,0,0,0,0
international,32,6,21.3,43.28,3.4,,0,0,0,0,0,0
domestic,29,10,20.6,80.62,6.8,4.92,1,1,1,1,1,1
domestic,20,2,34.3,56.92,8.4,5.33,1,1,0,1,1,1
domestic,34,8,6.6,37.61,2.4,5.55,0,0,0,0,0,0
domestic,22,0,17.4,63.36,5.8,4.35,1,1,0,1,1,1
domestic,32,5,29.8,70.14,6.7,5.55,0,1,1,1,1,0
domestic,29,6,38.7,43.03,7.4,3.45,1,1,0,0,0,0
international,25,8,43.6,54.98,3.8,83.5,0,0,0,0,0,0
domestic,22,3,6.9,86.77,6.5,5.37,1,1,1,1,1,1
domestic,23,8,5.0,64.79,4.4,4.47,0,0,0,1,0,0
domestic,26,4,6.7,74.51,7.3,5.58,1,1,1,1,1,1
international,32,8,4.3,40.93,3.7,A,0,0,0,0,0,0
domestic,26,7,8.2,28.49,3.1,4.53,0,0,0,0,0,0
domestic,27,5,2.7,88.54,6.2,2.03,1,1,1,1,1,1
domestic,23,6,19.0,65.1,3.4,3.14,0,0,0,0,0,0
domestic,32,9,12.4,62.26,4.0,5.18,0,0,0,0,0,0
domestic,20,2,15.5,80.45,6.2,5.71,1,1,1,1,1,1
international,19,2,6.4,87.38,7.6,1.2,1,1,1,1,1,1
domestic,24,4,23.5,46.75,5.7,2.93,0,0,0,0,0,0
domestic,29,7,29.9,67.8,6.5,4.69,1,1,0,1,1,0
international,25,5,14.2,72.2,4.2,6.6,0,0,1,1,1,0
domestic,25,7,25.1,68.13,6.0,5.83,0,1,0,1,1,0
domestic,23,5,13.0,40.23,3.7,4.16,0,0,0,0,0,0
domestic,21,3,31.0,40.41,3.6,5.18,0,0,0,0,0,0
international,25,9,11.1,78.02,5.6,7.3,1,1,1,1,1,1
domestic,27,11,25.9,52.94,4.0,3.04,0,0,0,0,0,0
domestic,21,2,16.8,53.5,7.9,4.18,1,1,0,0,1,1
domestic,21,4,9.4,80.35,7.2,5.11,1,1,1,1,1,1
domestic,22,6,56.5,61.03,4.8,5.29,0,0,0,0,0,0
domestic,24,6,4.0,44.9,3.5,4.95,0,0,0,0,0,0
international,21,2,43.7,87.32,7.1,96.2,1,1,1,1,1,1
domestic,35,11,16.1,35.11,3.1,2.05,0,0,0,0,0,0
domestic,24,6,1.9,61.39,5.1,2.23,0,0,0,0,0,0
domestic,30,6,17.7,26.59,0.7,3.94,0,0,0,0,0,0
domestic,25,6,9.1,48.59,4.3,4.65,0,0,0,0,0,0
domestic,22,1,24.7,39.06,7.4,3.77,1,1,0,0,1,0
domestic,24,7,7.2,33.98,3.4,5.03,0,0,0,0,0,0
international,25,5,24.4,80.38,4.4,60.2,1,0,1,1,1,1
domestic,36,10,44.6,37.93,3.2,5.12,0,0,0,0,0,0
domestic,25,3,30.7,50.41,6.6,5.2,0,1,0,0,0,0
domestic,32,8,12.1,71.44,2.9,5.79,0,0,1,1,0,0
domestic,24,8,22.4,59.03,7.4,,0,1,0,1,1,0
domestic,21,1,2.9,63.69,5.3,2.8,0,1,0,1,1,1
domestic,26,6,49.6,62.12,4.8,4.96,1,0,0,0,0,0
domestic,23,4,2.4,74.39,3.4,4.14,0,0,1,1,0,0
domestic,30,9,29.0,56.78,7.0,5.13,1,1,0,0,0,0
international,21,4,7.7,77.73,6.9,3.7,1,1,1,1,1,1
international,26,5,37.9,78.08,7.0,4.8,1,1,1,1,1,1
domestic,32,9,9.1,48.59,3.7,4.62,0,0,0,0,0,0
domestic,21,6,14.7,77.6,7.2,5.78,1,1,1,1,1,1
domestic,29,10,19.8,62.66,3.1,5.11,0,0,0,0,0,0
domestic,28,2,5.7,50.5,5.7,3.06,0,0,0,0,1,0
international,30,4,28.7,68.88,5.0,90.5,0,0,1,1,1,0
domestic,22,2,60.1,54.59,6.9,3.06,1,1,0,0,0,1
international,25,9,68.0,65.58,9.4,5.6,1,1,1,1,1,1
domestic,19,2,16.5,42.89,3.7,2.97,0,0,0,0,0,0
domestic,20,2,3.9,84.57,7.9,4.29,1,1,1,1,1,1
domestic,25,9,30.4,31.34,4.4,4.75,0,0,0,0,0,0
domestic,27,8,18.3,29.71,5.1,3.41,0,0,0,0,0,0
domestic,23,5,2.0,52.61,2.7,4.21,0,0,0,0,0,0
domestic,21,1,19.8,68.66,6.6,3.29,1,1,1,1,1,1
domestic,21,0,4.4,54.58,6.1,5.87,0,1,0,0,1,1
international,25,5,16.0,59.2,5.7,5.0,1,1,0,1,1,0
domestic,25,5,3.8,34.34,5.5,2.72,0,0,0,0,0,0
international,24,4,35.3,44.23,5.1,6.9,0,0,0,0,0,0
international,22,4,3.0,66.06,4.6,2.4,1,0,1,1,0,0
international,26,4,43.8,68.48,4.7,88.3,1,0,1,1,0,0
domestic,35,10,7.3,46.64,3.6,3.63,0,0,0,0,0,0
domestic,32,7,49.1,40.08,4.8,4.88,0,0,0,0,0,0
international,20,1,30.0,87.27,6.8,8.5,1,1,1,1,1,1
domestic,21,4,44.4,57.61,5.6,2.26,1,1,0,0,0,0
international,29,9,52.8,57.88,6.8,94.9,1,1,0,1,0,0
international,24,7,26.6,85.84,7.1,2.4,1,1,1,1,1,1
domestic,26,4,19.8,47.04,4.8,5.82,0,0,0,0,0,0
international,23,0,12.3,53.92,7.6,A,1,1,0,1,1,1
domestic,34,9,17.3,39.49,3.4,5.35,0,0,0,0,0,0
domestic,35,8,26.9,50.26,4.4,5.77,0,0,0,0,0,0
international,28,2,6.5,53.34,6.5,30.7,1,1,0,1,1,0
international,24,5,15.9,72.91,6.0,83.6,1,1,1,1,1,1
domestic,25,6,39.4,81.85,9.2,4.75,1,1,1,1,1,1
domestic,19,2,1.8,70.71,5.2,5.21,1,1,1,1,1,1
domestic,25,8,18.0,52.47,3.5,2.84,0,0,0,0,0,0
domestic,27,5,3.7,60.35,4.4,3.84,0,0,0,0,0,0
domestic,33,7,36.3,51.99,5.5,5.09,0,0,0,0,0,0
domestic,30,10,8.0,73.51,3.9,3.57,1,0,1,1,0,0
domestic,27,5,13.9,61.76,4.1,3.79,0,0,0,0,0,0
international,20,2,39.8,62.03,5.3,5.6,0,1,0,1,0,1
domestic,21,5,16.0,55.56,6.2,4.7,1,1,0,0,0,0
domestic,22,3,6.9,41.18,5.2,5.17,0,0,0,0,0,0
domestic,23,6,2.5,42.22,2.9,3.36,0,0,0,0,0,0
international,24,5,31.6,43.91,5.4,6.8,0,0,0,0,0,0
international,34,8,41.6,69.57,5.5,C,0,0,1,1,0,0
international,35,11,25.8,56.15,4.8,89.9,0,0,0,1,0,0
domestic,20,3,44.8,84.92,8.6,4.71,1,1,1,1,1,1
domestic,25,6,13.1,49.99,4.7,5.56,0,0,0,0,0,0
international,28,7,57.3,86.63,8.3,1.2,1,1,1,1,1,1
domestic,34,10,5.3,41.0,0.8,4.06,0,0,0,0,0,0
domestic,25,6,8.9,57.37,4.0,3.38,1,0,0,0,0,0
domestic,25,7,37.8,70.42,5.7,4.35,1,1,1,1,0,0
domestic,28,3,16.1,67.22,7.1,5.94,1,1,0,1,1,1
international,31,5,13.6,24.91,3.3,5.8,0,0,0,0,0,0
domestic,27,6,39.2,62.5,3.4,4.69,0,0,0,0,0,0
domestic,31,9,2.3,68.1,3.3,4.0,0,0,0,1,0,0
international,23,7,40.6,55.57,4.7,54.8,0,0,0,0,0,0
international,27,3,15.4,55.19,4.6,42.5,0,0,0,0,1,0
domestic,34,6,4.6,18.45,2.2,3.56,0,0,0,0,0,0
domestic,29,5,16.6,50.16,4.5,3.75,0,0,0,0,0,0
domestic,22,4,28.4,89.93,5.8,5.2,1,1,1,1,1,1
domestic,25,7,14.3,41.58,5.4,4.52,0,0,0,0,0,0
domestic,24,3,2.1,30.71,2.7,4.42,0,0,0,0,0,0
domestic,20,1,2.9,67.91,4.1,3.55,1,1,0,1,1,1
domestic,25,6,4.0,44.04,4.5,5.22,0,0,0,0,0,0
international,22,1,34.5,86.62,7.6,3.9,1,1,1,1,1,1
domestic,22,6,49.3,75.79,7.6,5.06,1,1,1,1,0,1
domestic,25,5,19.2,29.09,1.2,5.17,0,0,0,0,0,0
domestic,24,3,22.3,62.78,4.1,3.62,0,0,0,0,0,0
domestic,29,4,11.7,48.75,4.0,4.97,0,0,0,0,0,0
domestic,25,5,4.1,52.34,5.1,,0,0,0,0,0,0
international,32,2,50.4,59.6,4.4,4.6,0,0,0,1,0,0
domestic,32,8,14.0,37.52,3.2,2.15,0,0,0,0,0,0
domestic,21,1,3.4,64.26,2.4,3.89,0,0,0,0,0,0
domestic,36,10,48.2,58.37,6.3,4.55,0,0,0,0,0,0
international,23,5,46.2,65.38,5.9,2.4,0,1,1,1,0,1
domestic,32,5,51.6,45.4,5.0,3.71,0,0,0,0,0,0
domestic,26,6,19.5,45.76,3.0,5.52,0,0,0,0,0,0
domestic,21,1,13.1,64.8,3.5,3.85,0,0,0,0,0,0
domestic,30,9,30.2,30.37,1.2,3.32,0,0,0,0,0,0
domestic,26,2,23.4,46.0,5.8,5.24,0,0,0,0,0,0
domestic,30,8,32.6,24.3,2.1,5.2,0,0,0,0,0,0
domestic,26,4,10.5,70.06,5.5,4.25,1,1,1,1,1,1
domestic,35,8,11.5,68.13,3.0,5.67,0,0,0,0,0,0
domestic,27,10,9.3,18.89,4.1,5.75,0,0,0,0,0,0
domestic,30,8,42.0,53.48,2.5,5.06,0,0,0,0,0,0
domestic,33,11,43.9,52.17,2.8,2.05,0,0,0,0,0,0
international,21,3,22.2,75.33,7.1,B,1,1,1,1,1,1
international,33,8,45.0,44.61,5.5,3.7,0,0,0,0,0,0
domestic,20,2,5.2,45.73,5.9,3.81,0,1,0,0,0,0
domestic,32,9,14.2,33.58,5.8,5.44,0,0,0,0,0,0
domestic,20,4,5.2,90.7,6.0,4.58,1,1,1,1,1,1
domestic,20,0,10.6,84.32,7.7,1.52,1,1,1,1,1,1
domestic,21,5,2.9,49.67,3.7,4.92,0,0,0,0,0,0
international,29,10,66.9,54.26,8.2,3.1,1,1,0,1,0,0
international,27,9,52.8,86.08,3.0,1.1,0,0,1,1,0,0
domestic,21,3,10.9,35.21,3.6,4.13,0,0,0,0,0,0
domestic,24,5,13.0,37.54,5.0,4.53,0,0,0,0,0,0
domestic,29,7,23.4,61.83,2.9,3.37,0,0,0,0,0,0
domestic,19,0,0.7,74.34,6.9,4.42,1,1,1,1,1,1
domestic,29,5,9.2,45.68,3.8,5.6,0,0,0,0,0,0
international,20,4,44.6,59.86,5.5,2.0,1,1,0,1,0,0
domestic,26,6,14.8,16.87,5.5,4.33,0,0,0,0,0,0
international,24,6,7.6,68.65,3.7,39.5,0,0,1,1,0,0
domestic,21,2,22.9,52.45,5.9,5.27,0,1,0,0,1,0
domestic,32,10,24.8,84.62,6.2,5.59,1,1,1,1,1,0
domestic,34,8,13.7,31.15,3.0,4.38,0,0,0,0,0,0
international,20,2,2.9,85.38,6.3,79.2,1,1,1,1,1,1
international,25,1,19.4,97.3,7.9,83.2,1,1,1,1,1,1
international,22,2,36.4,83.07,8.4,70.9,1,1,1,1,1,1
domestic,20,0,1.9,51.68,5.9,5.93,0,1,0,0,1,0
domestic,20,3,3.7,45.18,7.2,4.21,0,1,0,0,1,0
domestic,29,7,8.5,33.67,1.4,4.82,0,0,0,0,0,0
domestic,23,2,2.4,49.07,6.2,2.71,1,1,0,0,1,0
domestic,25,3,15.4,63.52,4.3,5.59,0,0,0,0,0,0
domestic,25,6,65.1,59.76,7.0,5.41,0,1,0,1,0,0
domestic,29,5,17.3,22.03,5.9,5.05,0,0,0,0,0,0
international,21,6,27.1,74.02,6.2,7.6,1,1,1,1,1,1
domestic,29,6,6.1,74.16,4.7,2.23,1,0,1,1,1,0
international,25,7,5.2,73.54,5.4,4.7,1,1,1,1,1,1
domestic,28,8,14.8,63.41,3.6,2.69,0,0,0,0,0,0
domestic,20,4,9.5,29.08,5.2,,0,0,0,0,0,0
international,35,9,58.6,27.47,5.9,56.2,0,0,0,0,0,0
international,24,7,3.5,65.21,4.9,,0,0,1,1,0,0
domestic,29,9,6.1,62.7,3.1,2.83,0,0,0,0,0,0
international,27,8,67.0,78.57,3.9,2.7,0,0,1,1,0,0
domestic,25,6,12.3,50.35,5.9,4.2,1,0,0,0,0,0
domestic,27,5,29.6,55.22,3.8,3.19,0,0,0,0,0,0
domestic,35,10,30.1,35.72,3.0,4.57,0,0,0,0,0,0
domestic,29,7,20.8,66.21,5.6,4.26,0,0,0,1,0,0
domestic,31,7,40.8,24.44,4.8,,0,0,0,0,0,0
domestic,26,3,6.9,45.44,4.3,4.91,0,0,0,0,0,0
domestic,20,4,15.9,40.35,4.0,,0,0,0,0,0,0
domestic,27,4,8.9,67.95,8.5,3.95,1,1,0,1,1,1
international,25,2,32.2,42.06,6.6,1.3,0,1,0,0,0,0
domestic,22,7,12.7,46.88,4.5,5.79,0,0,0,0,0,0
international,27,7,13.0,88.49,3.9,3.2,0,0,1,1,1,1
domestic,24,5,17.5,33.78,4.0,5.27,0,0,0,0,0,0
domestic,21,2,18.9,60.59,4.9,4.28,1,1,0,0,0,0
international,34,5,11.2,83.18,4.4,4.4,0,0,1,1,1,0
international,22,5,33.0,39.44,6.7,3.4,0,1,0,0,0,0
domestic,25,4,17.2,62.26,4.2,3.77,0,0,0,0,0,0
international,24,6,38.3,56.88,5.5,3.7,0,0,0,1,0,0
international,20,2,53.8,54.73,8.5,6.8,1,1,0,1,0,1
international,31,10,33.2,63.54,7.0,36.4,0,1,0,1,0,0
domestic,32,8,38.2,71.81,7.0,,0,1,1,1,0,0
international,23,6,33.2,77.04,8.3,8.5,1,1,1,1,0,1
domestic,23,4,19.1,52.68,5.9,3.0,0,1,0,0,0,0
domestic,24,8,10.6,72.03,5.6,3.38,1,1,1,1,0,1
domestic,28,2,20.2,62.81,5.6,3.18,1,1,0,1,1,0
domestic,22,1,3.7,57.47,2.7,4.61,1,0,0,0,0,0
domestic,30,6,3.3,71.81,3.6,4.38,0,0,1,1,0,0
domestic,21,6,8.9,52.74,5.6,4.63,0,1,0,0,0,0
domestic,26,3,21.4,38.57,4.7,4.0,0,0,0,0,0,0
domestic,26,8,12.3,45.7,4.0,4.99,0,0,0,0,0,0
domestic,19,2,14.4,46.69,5.3,3.98,0,1,0,0,0,0
international,21,3,31.9,53.64,6.6,69.8,1,1,0,1,0,0
domestic,31,7,6.2,54.06,1.8,5.55,0,0,0,0,0,0
domestic,24,10,25.8,72.76,4.4,2.8,0,0,1,1,0,0
domestic,20,4,1.9,34.76,5.3,3.95,0,0,0,0,0,0
international,23,3,20.6,49.38,3.7,47.3,0,0,0,0,0,0
domestic,25,3,32.5,85.97,5.7,5.28,1,1,1,1,1,1
domestic,19,2,1.6,63.01,5.8,2.95,1,1,0,1,1,1
international,21,1,14.2,37.24,3.8,55.4,0,0,0,0,0,0
domestic,30,4,11.3,43.43,5.9,2.78,1,0,0,0,0,0
domestic,25,8,22.1,63.13,6.8,4.8,0,1,0,1,1,0
domestic,26,6,3.3,63.91,6.2,5.66,1,1,0,1,1,0
domestic,20,0,33.6,49.07,7.2,5.3,1,1,0,0,0,1
domestic,33,4,17.9,37.75,3.3,4.96,0,0,0,0,0,0
domestic,21,3,8.5,34.08,4.0,2.78,0,0,0,0,0,0
domestic,29,9,28.2,42.44,3.5,,0,0,0,0,0,0
domestic,23,4,9.5,38.47,4.6,2.29,0,0,0,0,0,0
international,28,3,47.7,29.7,3.8,51.8,0,0,0,0,0,0
domestic,25,4,12.0,50.84,6.1,2.05,1,1,0,0,0,0
international,26,3,36.3,82.33,7.7,B,1,1,1,1,1,1
domestic,24,8,16.5,36.74,5.9,5.22,0,0,0,0,0,0
domestic,34,12,48.3,59.59,4.7,4.17,0,0,0,0,0,0
domestic,22,2,3.7,59.84,4.4,5.79,0,0,0,0,0,0
international,22,5,42.1,51.13,5.5,2.0,0,0,0,0,0,0
domestic,22,4,11.4,68.14,4.5,5.0,0,0,0,1,0,0
domestic,28,6,25.6,30.27,2.6,4.61,0,0,0,0,0,0
international,20,0,20.1,43.28,7.8,3.6,0,1,0,0,1,0
international,22,4,12.3,32.4,4.4,8.2,0,0,0,0,0,0
domestic,28,10,13.6,70.06,4.7,4.1,0,0,1,1,0,0
international,30,6,36.9,59.53,3.1,94.4,0,0,0,0,0,0
domestic,22,2,3.9,75.55,4.8,5.31,0,1,1,1,1,1
domestic,34,8,20.5,59.02,2.0,3.53,0,0,0,0,0,0
domestic,26,1,27.6,62.08,7.8,4.73,1,1,0,1,1,1
domestic,25,8,43.7,67.95,6.8,4.02,1,1,0,1,0,1
international,30,2,39.9,65.35,6.9,2.0,1,1,1,1,1,1
domestic,24,5,10.0,72.78,5.4,4.69,1,1,1,1,1,1
domestic,32,9,35.2,48.96,3.8,5.25,0,0,0,0,0,0
domestic,27,6,23.2,64.97,6.9,2.82,1,1,0,1,1,1
domestic,22,0,7.8,36.01,2.5,4.56,0,0,0,0,0,0
domestic,22,6,32.8,68.46,5.6,5.8,1,1,1,1,0,1
domestic,22,2,3.8,48.48,7.3,3.14,0,1,0,0,1,0
international,34,9,18.8,43.56,3.4,84.6,0,0,0,0,0,0
domestic,31,6,18.8,58.29,6.6,4.83,1,1,0,0,1,0
domestic,28,3,20.6,61.37,6.3,5.8,0,1,0,1,1,0
international,25,7,16.0,43.45,4.0,49.7,0,0,0,0,0,0
domestic,34,10,45.6,54.6,6.0,3.88,0,0,0,0,0,0
domestic,28,5,11.4,17.97,3.5,2.7,0,0,0,0,0,0
international,28,7,21.2,21.91,1.8,1.6,0,0,0,0,0,0
domestic,29,9,38.5,40.87,4.1,,0,0,0,0,0,0
domestic,20,1,1.7,42.96,5.9,3.33,1,1,0,0,0,0
international,22,8,7.3,73.29,5.8,2.3,1,1,1,1,0,1
domestic,30,6,13.8,65.6,6.0,4.75,1,0,0,1,1,0
domestic,25,9,2.2,70.46,5.6,5.96,1,1,1,1,0,0
international,32,4,48.5,67.58,7.1,69.6,0,1,1,1,1,0
international,27,5,31.6,80.33,4.6,C,0,0,1,1,0,1
domestic,27,2,30.7,40.65,7.8,3.23,1,1,0,0,0,0
domestic,30,7,4.7,57.24,2.3,4.25,0,0,0,0,0,0
domestic,32,7,56.7,67.2,3.9,5.37,0,0,0,1,0,0
international,34,4,37.8,87.3,6.5,64.6,1,1,1,1,1,1
domestic,22,4,22.2,86.39,6.0,4.86,1,1,1,1,1,1
domestic,34,10,9.8,66.37,4.6,5.26,0,0,0,1,0,0
domestic,32,5,26.1,47.84,5.9,4.18,1,0,0,0,0,0
domestic,22,4,4.0,35.51,3.3,3.55,0,0,0,0,0,0
domestic,26,3,0.1,81.63,4.5,3.74,1,1,1,1,1,1
domestic,20,0,14.4,93.02,8.3,,1,1,1,1,1,1
domestic,26,2,4.1,69.33,5.3,5.31,0,1,1,1,1,1
domestic,31,8,5.7,80.1,5.8,3.1,1,1,1,1,1,0
international,23,5,52.0,52.01,7.1,62.7,1,1,0,1,0,0
international,35,6,19.7,44.36,3.8,68.3,0,0,0,0,0,0
domestic,26,7,8.5,66.02,3.1,5.28,0,0,0,0,0,0
domestic,20,4,0.2,52.18,1.7,3.07,0,0,0,0,0,0
domestic,29,6,10.0,32.2,2.3,3.75,0,0,0,0,0,0
domestic,32,9,42.8,50.3,4.6,5.22,0,0,0,0,0,0
domestic,27,4,33.1,63.78,4.9,3.62,0,0,0,1,0,0
domestic,23,4,14.5,63.19,6.6,2.2,1,1,0,1,1,1
domestic,27,6,4.7,29.57,4.2,5.3,0,0,0,0,0,0
domestic,26,7,41.3,76.95,7.6,3.91,1,1,1,1,1,1
international,36,10,49.1,63.92,4.1,7.4,0,0,0,1,0,0
domestic,26,6,24.1,56.58,6.2,3.66,1,1,0,0,0,0
domestic,28,5,0.8,28.4,2.8,5.57,0,0,0,0,0,0
international,23,4,30.7,56.87,6.5,,1,1,0,1,0,0
international,31,6,19.3,87.63,7.6,59.5,1,1,1,1,1,1
international,27,5,45.8,46.03,5.0,5.9,0,0,0,0,0,0
domestic,27,4,34.1,56.23,6.6,2.25,0,1,0,0,0,0
domestic,25,3,46.8,80.45,6.2,4.13,1,1,1,1,1,1
domestic,32,5,36.5,65.84,5.2,3.86,0,0,0,1,0,0
international,27,7,37.2,66.28,4.1,71.2,0,0,1,1,0,0
domestic,25,5,26.7,53.64,5.7,5.3,1,0,0,0,0,0
international,23,4,10.7,60.36,6.3,8.2,1,1,0,1,0,1
domestic,20,1,21.2,23.34,4.2,5.45,0,0,0,0,0,0
domestic,25,1,6.1,51.29,2.5,2.94,0,0,0,0,0,0
domestic,27,8,9.8,62.83,4.3,4.58,0,0,0,0,0,0
international,28,5,27.5,68.57,5.4,7.2,0,0,1,1,1,0
international,27,7,17.5,45.55,1.8,6.5,0,0,0,0,0,0
domestic,21,3,1.3,46.76,4.6,2.5,0,0,0,0,0,0
domestic,24,9,4.1,30.96,2.5,4.42,0,0,0,0,0,0
domestic,26,10,40.7,19.01,2.9,1.68,0,0,0,0,0,0
international,23,9,10.2,73.29,4.5,B,0,0,1,1,0,0
domestic,20,2,15.6,69.97,7.5,3.14,1,1,1,1,1,1
domestic,26,9,2.8,74.17,4.4,4.01,0,0,1,1,0,0
domestic,26,2,15.8,45.93,3.8,3.87,0,0,0,0,0,0
international,20,4,40.1,49.08,5.3,67.4,1,1,0,0,0,0
domestic,21,6,2.6,55.67,5.4,5.36,0,1,0,0,0,0
domestic,22,4,12.2,40.16,4.6,4.17,0,0,0,0,0,0
domestic,23,5,22.3,41.9,3.0,5.58,0,0,0,0,0,0
domestic,27,8,17.8,36.0,2.3,4.03,0,0,0,0,0,0
domestic,25,2,4.2,64.35,4.3,2.56,0,0,0,0,1,0
domestic,26,3,9.7,66.35,3.5,3.93,1,0,0,0,0,0
international,28,8,22.9,45.97,4.9,69.1,0,0,0,0,0,0
international,29,5,10.7,59.38,3.6,8.5,0,0,0,1,0,0
domestic,22,7,3.5,56.34,5.8,4.88,0,1,0,0,0,0
international,29,4,34.9,23.13,2.3,3.3,0,0,0,0,0,0
domestic,29,9,28.6,66.75,4.4,4.89,0,0,0,1,0,0
domestic,26,9,34.9,57.18,3.2,5.17,0,0,0,0,0,0
domestic,24,3,19.2,43.94,4.4,1.94,0,0,0,0,0,0
international,21,5,13.4,68.6,7.9,7.1,1,1,1,1,1,1
domestic,24,7,19.7,87.3,7.5,3.64,1,1,1,1,1,1
domestic,22,4,49.3,64.85,4.9,1.45,0,1,0,1,0,0
domestic,23,5,10.8,46.7,3.1,3.51,0,0,0,0,0,0
domestic,27,9,11.5,71.94,2.1,4.66,0,0,1,1,0,0
international,20,1,21.0,60.69,8.5,1.7,1,1,0,1,1,1
domestic,35,1,1.1,51.63,2.3,3.48,0,0,0,0,0,0
domestic,23,3,2.3,39.79,3.9,,0,0,0,0,0,0
domestic,29,7,7.0,40.93,2.6,4.9,0,0,0,0,0,0
domestic,21,5,4.6,64.91,4.3,5.16,0,0,0,0,0,0
domestic,30,7,17.5,69.6,4.0,3.62,0,0,1,1,0,0
domestic,26,4,10.2,70.69,5.8,5.74,1,1,1,1,1,1
domestic,21,5,33.7,51.8,5.5,4.81,0,1,0,0,0,0
international,23,1,31.2,59.53,7.8,55.7,1,1,0,1,0,1
domestic,29,5,29.6,47.85,6.2,5.21,1,0,0,0,0,0
